token,date,amount
HBTC,12/11/2019,0.01
HBTC,12/11/2019,-0.01
HBTC,12/16/2019,0.005
HBTC,12/16/2019,-0.005
HBTC,1/7/2020,0.005
HBTC,1/7/2020,-0.005
HBTC,2/4/2020,0.01
HBTC,2/10/2020,0.005
HBTC,2/10/2020,-0.005
HBTC,2/10/2020,0.005
HBTC,2/11/2020,0.001
HBTC,2/11/2020,0.129
HBTC,2/13/2020,1
HBTC,2/13/2020,499
HBTC,2/28/2020,210
HBTC,4/1/2020,-0.03464001
HBTC,6/5/2020,0.0011
imBTC,10/25/2019,0.12345678
imBTC,10/25/2019,0.01
imBTC,10/25/2019,1
imBTC,10/25/2019,0.02
imBTC,10/25/2019,-0.01
imBTC,10/25/2019,0.01
imBTC,10/25/2019,-0.01
imBTC,10/25/2019,0.5
imBTC,10/26/2019,0.10000781
imBTC,10/26/2019,0.01
imBTC,10/26/2019,0.1494532
imBTC,10/26/2019,0.32342403
imBTC,10/26/2019,0.02
imBTC,10/26/2019,0.20016462
imBTC,10/26/2019,0.44166872
imBTC,10/26/2019,2
imBTC,10/26/2019,0.15
imBTC,10/26/2019,0.78020535
imBTC,10/26/2019,5.25
imBTC,10/26/2019,6.999
imBTC,10/26/2019,0.0666
imBTC,10/26/2019,0.08336886
imBTC,10/26/2019,0.63
imBTC,10/26/2019,4.12251143
imBTC,10/26/2019,1.04238896
imBTC,10/26/2019,0.5
imBTC,10/26/2019,0.71187831
imBTC,10/26/2019,1.3989532
imBTC,10/26/2019,0.04541988
imBTC,10/26/2019,1.00519248
imBTC,10/27/2019,0.2
imBTC,10/27/2019,0.3030804
imBTC,10/27/2019,0.010919
imBTC,10/27/2019,0.013
imBTC,10/27/2019,0.03339483
imBTC,10/27/2019,1.0014424
imBTC,10/27/2019,0.01
imBTC,10/28/2019,0.05110251
imBTC,10/28/2019,0.04834016
imBTC,10/28/2019,0.01
imBTC,10/29/2019,0.5944
imBTC,10/29/2019,0.11597359
imBTC,10/29/2019,0.5
imBTC,10/29/2019,0.04
imBTC,10/29/2019,0.1
imBTC,10/29/2019,0.22282103
imBTC,10/29/2019,0.10179662
imBTC,10/29/2019,0.01067916
imBTC,10/30/2019,10
imBTC,10/30/2019,0.05695
imBTC,10/30/2019,0.0155
imBTC,10/30/2019,5.1621
imBTC,10/30/2019,0.16177785
imBTC,10/30/2019,0.05
imBTC,10/30/2019,9.99996766
imBTC,10/30/2019,1
imBTC,10/31/2019,10
imBTC,10/31/2019,10
imBTC,10/31/2019,10
imBTC,10/31/2019,0.06654172
imBTC,10/31/2019,0.3309532
imBTC,10/31/2019,2.5
imBTC,10/31/2019,0.2419532
imBTC,10/31/2019,0.39996563
imBTC,10/31/2019,1
imBTC,10/31/2019,0.0527612
imBTC,10/31/2019,1
imBTC,10/31/2019,0.09
imBTC,10/31/2019,6
imBTC,10/31/2019,2.02582724
imBTC,11/1/2019,-0.01
imBTC,11/1/2019,-0.01092736
imBTC,11/3/2019,-0.01178207
imBTC,11/4/2019,-0.03942361
imBTC,11/4/2019,-2.02625247
imBTC,11/5/2019,-0.01068148
imBTC,11/5/2019,-1.00552842
imBTC,11/6/2019,0.9999496
imBTC,11/6/2019,-0.99991594
imBTC,11/7/2019,0.0001
imBTC,11/7/2019,0.0001
imBTC,11/7/2019,2
imBTC,11/7/2019,2
imBTC,11/7/2019,2
imBTC,11/7/2019,2
imBTC,11/7/2019,2
imBTC,11/7/2019,2
imBTC,11/7/2019,2
imBTC,11/7/2019,0.00012
imBTC,11/8/2019,-0.5
imBTC,11/8/2019,-0.04286607
imBTC,11/9/2019,-0.01035335
imBTC,11/10/2019,3
imBTC,11/11/2019,2
imBTC,11/11/2019,-0.01274082
imBTC,11/11/2019,2
imBTC,11/11/2019,-0.06120945
imBTC,11/11/2019,-0.15522779
imBTC,11/12/2019,-1.40158272
imBTC,11/12/2019,2
imBTC,11/14/2019,-0.32608937
imBTC,11/14/2019,-0.63112791
imBTC,11/15/2019,2
imBTC,11/18/2019,2
imBTC,11/18/2019,-0.06048662
imBTC,11/19/2019,-0.10209049
imBTC,11/19/2019,3
imBTC,11/21/2019,-0.01232292
imBTC,11/21/2019,6
imBTC,11/22/2019,3
imBTC,11/24/2019,-0.01772413
imBTC,11/25/2019,-0.02217677
imBTC,11/25/2019,-0.01374166
imBTC,11/26/2019,-0.01217957
imBTC,11/29/2019,-0.01191147
imBTC,11/29/2019,-0.09970164
imBTC,11/30/2019,2
imBTC,11/30/2019,-0.24842976
imBTC,11/30/2019,2
imBTC,11/30/2019,-4.43061149
imBTC,12/1/2019,3
imBTC,12/1/2019,3
imBTC,12/2/2019,-0.02874089
imBTC,12/2/2019,-0.01801881
imBTC,12/2/2019,-0.02779995
imBTC,12/3/2019,-0.01
imBTC,12/3/2019,4
imBTC,12/3/2019,-0.5
imBTC,12/4/2019,-0.99
imBTC,12/4/2019,3
imBTC,12/4/2019,4
imBTC,12/5/2019,0.185874
imBTC,12/5/2019,5
imBTC,12/5/2019,2.34611768
imBTC,12/5/2019,1.85547152
imBTC,12/5/2019,0.26338207
imBTC,12/5/2019,1
imBTC,12/5/2019,3
imBTC,12/6/2019,3
imBTC,12/6/2019,0.2
imBTC,12/6/2019,0.0187904
imBTC,12/6/2019,0.446
imBTC,12/6/2019,10
imBTC,12/6/2019,10
imBTC,12/6/2019,10
imBTC,12/6/2019,10
imBTC,12/6/2019,10
imBTC,12/6/2019,-3.34197233
imBTC,12/6/2019,0.06433054
imBTC,12/7/2019,-0.01173729
imBTC,12/8/2019,3
imBTC,12/9/2019,3
imBTC,12/9/2019,-0.02001401
imBTC,12/9/2019,-2.39558009
imBTC,12/9/2019,0.3053856
imBTC,12/11/2019,3
imBTC,12/12/2019,-9.53692385
imBTC,12/12/2019,-0.33560026
imBTC,12/13/2019,-0.02314712
imBTC,12/14/2019,3.525
imBTC,12/16/2019,-0.30488266
imBTC,12/16/2019,4
imBTC,12/18/2019,-0.01412251
imBTC,12/18/2019,-0.12616038
imBTC,12/19/2019,-0.10261748
imBTC,12/19/2019,2
imBTC,12/19/2019,-0.69735835
imBTC,12/19/2019,-1.29002588
imBTC,12/19/2019,-0.01426449
imBTC,12/19/2019,-0.01115939
imBTC,12/19/2019,-1.35129297
imBTC,12/21/2019,-0.01438202
imBTC,12/21/2019,4
imBTC,12/22/2019,-0.01796993
imBTC,12/24/2019,-0.9586864
imBTC,12/24/2019,-0.01069705
imBTC,12/25/2019,-0.05310294
imBTC,12/25/2019,4
imBTC,12/25/2019,4
imBTC,12/26/2019,-0.04
imBTC,12/26/2019,3
imBTC,12/27/2019,2
imBTC,12/27/2019,2
imBTC,12/27/2019,2
imBTC,12/28/2019,10
imBTC,12/28/2019,10
imBTC,12/28/2019,10
imBTC,12/28/2019,10
imBTC,12/28/2019,9.997
imBTC,12/28/2019,10
imBTC,12/29/2019,10
imBTC,12/29/2019,-0.02115845
imBTC,12/29/2019,-0.65655021
imBTC,12/30/2019,-0.03391309
imBTC,12/31/2019,-0.09
imBTC,1/3/2020,-7.04678233
imBTC,1/3/2020,10
imBTC,1/3/2020,10
imBTC,1/3/2020,3
imBTC,1/3/2020,10
imBTC,1/3/2020,10
imBTC,1/3/2020,0.01135031
imBTC,1/3/2020,0.0193
imBTC,1/3/2020,0.4
imBTC,1/3/2020,-0.9
imBTC,1/3/2020,-4.045
imBTC,1/4/2020,-0.20025877
imBTC,1/4/2020,0.83883305
imBTC,1/5/2020,-5.00651297
imBTC,1/5/2020,6.7249
imBTC,1/5/2020,0.1
imBTC,1/5/2020,-0.0980973
imBTC,1/5/2020,1
imBTC,1/5/2020,0.05
imBTC,1/5/2020,0.080558
imBTC,1/6/2020,0.5002
imBTC,1/6/2020,-0.09822057
imBTC,1/6/2020,0.05
imBTC,1/6/2020,-0.10017557
imBTC,1/6/2020,2
imBTC,1/6/2020,-0.0207873
imBTC,1/7/2020,2
imBTC,1/7/2020,0.4999
imBTC,1/7/2020,0.25
imBTC,1/7/2020,2
imBTC,1/7/2020,38
imBTC,1/7/2020,4
imBTC,1/7/2020,0.02
imBTC,1/7/2020,0.08
imBTC,1/7/2020,0.23383962
imBTC,1/7/2020,-1
imBTC,1/7/2020,-1
imBTC,1/7/2020,-1
imBTC,1/7/2020,-0.63855071
imBTC,1/8/2020,0.5
imBTC,1/8/2020,-0.26277798
imBTC,1/8/2020,-0.9
imBTC,1/8/2020,20
imBTC,1/8/2020,0.1
imBTC,1/8/2020,0.05
imBTC,1/8/2020,0.7
imBTC,1/9/2020,2.81915439
imBTC,1/9/2020,-0.53
imBTC,1/9/2020,1
imBTC,1/9/2020,0.1
imBTC,1/9/2020,1
imBTC,1/9/2020,0.49935
imBTC,1/9/2020,1
imBTC,1/9/2020,-0.01656945
imBTC,1/9/2020,1
imBTC,1/9/2020,-0.03777036
imBTC,1/9/2020,0.10670516
imBTC,1/9/2020,-0.03431292
imBTC,1/10/2020,-0.10205579
imBTC,1/10/2020,-0.0619346
imBTC,1/10/2020,-0.01827816
imBTC,1/10/2020,2
imBTC,1/10/2020,-0.97398044
imBTC,1/11/2020,0.01343056
imBTC,1/11/2020,2
imBTC,1/11/2020,-0.12
imBTC,1/11/2020,-0.01
imBTC,1/11/2020,-0.01
imBTC,1/11/2020,2
imBTC,1/12/2020,-0.49340193
imBTC,1/12/2020,-0.01738874
imBTC,1/12/2020,-0.90206904
imBTC,1/12/2020,-0.99
imBTC,1/12/2020,-0.99
imBTC,1/12/2020,-0.43539402
imBTC,1/12/2020,3
imBTC,1/12/2020,-0.97211488
imBTC,1/12/2020,-0.99
imBTC,1/12/2020,-0.51238287
imBTC,1/12/2020,-0.1596085
imBTC,1/12/2020,3
imBTC,1/12/2020,3
imBTC,1/12/2020,-0.89992242
imBTC,1/12/2020,-0.40567233
imBTC,1/13/2020,-0.10671655
imBTC,1/13/2020,-0.999
imBTC,1/13/2020,-0.999
imBTC,1/13/2020,-0.999
imBTC,1/13/2020,-0.999
imBTC,1/13/2020,-0.999
imBTC,1/13/2020,-0.999
imBTC,1/13/2020,-0.999
imBTC,1/13/2020,-0.999
imBTC,1/13/2020,-0.999
imBTC,1/13/2020,4
imBTC,1/13/2020,-0.999
imBTC,1/13/2020,-0.46907551
imBTC,1/13/2020,0.018
imBTC,1/14/2020,0.0995
imBTC,1/14/2020,-0.0995
imBTC,1/14/2020,4.9995
imBTC,1/14/2020,0.66993771
imBTC,1/14/2020,3.9995
imBTC,1/14/2020,2
imBTC,1/15/2020,0.01318973
imBTC,1/15/2020,8.999
imBTC,1/15/2020,4.9995
imBTC,1/15/2020,4.9995
imBTC,1/15/2020,-0.30911329
imBTC,1/15/2020,0.01967707
imBTC,1/16/2020,0.8
imBTC,1/16/2020,9.9994604
imBTC,1/16/2020,-0.99
imBTC,1/16/2020,1
imBTC,1/16/2020,2
imBTC,1/16/2020,2
imBTC,1/16/2020,-0.99
imBTC,1/16/2020,-0.98
imBTC,1/16/2020,2
