token,date,amount
HBTC,12/11/2019,10000000000000000
HBTC,12/11/2019,-10000000000000000
HBTC,12/16/2019,5000000000000000
HBTC,12/16/2019,-5000000000000000
HBTC,1/7/2020,5000000000000000
HBTC,1/7/2020,-5000000000000000
HBTC,2/4/2020,10000000000000000
HBTC,2/10/2020,5000000000000000
HBTC,2/10/2020,-5000000000000000
HBTC,2/10/2020,5000000000000000
HBTC,2/11/2020,1000000000000000
HBTC,2/11/2020,129000000000000000
HBTC,2/13/2020,1000000000000000000
HBTC,2/13/2020,499000000000000000000
HBTC,2/28/2020,210000000000000000000
HBTC,4/1/2020,-34640010000000000
HBTC,6/5/2020,1100000000000000
imBTC,10/25/2019,12345678
imBTC,10/25/2019,1000000
imBTC,10/25/2019,100000000
imBTC,10/25/2019,2000000
imBTC,10/25/2019,-1000000
imBTC,10/25/2019,1000000
imBTC,10/25/2019,-1000000
imBTC,10/25/2019,50000000
imBTC,10/26/2019,10000781
imBTC,10/26/2019,1000000
imBTC,10/26/2019,14945320
imBTC,10/26/2019,32342403
imBTC,10/26/2019,2000000
imBTC,10/26/2019,20016462
imBTC,10/26/2019,44166872
imBTC,10/26/2019,200000000
imBTC,10/26/2019,15000000
imBTC,10/26/2019,78020535
imBTC,10/26/2019,525000000
imBTC,10/26/2019,699900000
imBTC,10/26/2019,6660000
imBTC,10/26/2019,8336886
imBTC,10/26/2019,63000000
imBTC,10/26/2019,412251143
imBTC,10/26/2019,104238896
imBTC,10/26/2019,50000000
imBTC,10/26/2019,71187831
imBTC,10/26/2019,139895320
imBTC,10/26/2019,4541988
imBTC,10/26/2019,100519248
imBTC,10/27/2019,20000000
imBTC,10/27/2019,30308040
imBTC,10/27/2019,1091900
imBTC,10/27/2019,1300000
imBTC,10/27/2019,3339483
imBTC,10/27/2019,100144240
imBTC,10/27/2019,1000000
imBTC,10/28/2019,5110251
imBTC,10/28/2019,4834016
imBTC,10/28/2019,1000000
imBTC,10/29/2019,59440000
imBTC,10/29/2019,11597359
imBTC,10/29/2019,50000000
imBTC,10/29/2019,4000000
imBTC,10/29/2019,10000000
imBTC,10/29/2019,22282103
imBTC,10/29/2019,10179662
imBTC,10/29/2019,1067916
imBTC,10/30/2019,1000000000
imBTC,10/30/2019,5695000
imBTC,10/30/2019,1550000
imBTC,10/30/2019,516210000
imBTC,10/30/2019,16177785
imBTC,10/30/2019,5000000
imBTC,10/30/2019,999996766
imBTC,10/30/2019,100000000
imBTC,10/31/2019,1000000000
imBTC,10/31/2019,1000000000
imBTC,10/31/2019,1000000000
imBTC,10/31/2019,6654172
imBTC,10/31/2019,33095320
imBTC,10/31/2019,250000000
imBTC,10/31/2019,24195320
imBTC,10/31/2019,39996563
imBTC,10/31/2019,100000000
imBTC,10/31/2019,5276120
imBTC,10/31/2019,100000000
imBTC,10/31/2019,9000000
imBTC,10/31/2019,600000000
imBTC,10/31/2019,202582724
imBTC,11/1/2019,-1000000
imBTC,11/1/2019,-1092736
imBTC,11/3/2019,-1178207
imBTC,11/4/2019,-3942361
imBTC,11/4/2019,-202625247
imBTC,11/5/2019,-1068148
imBTC,11/5/2019,-100552842
imBTC,11/6/2019,99994960
imBTC,11/6/2019,-99991594
imBTC,11/7/2019,10000
imBTC,11/7/2019,10000
imBTC,11/7/2019,200000000
imBTC,11/7/2019,200000000
imBTC,11/7/2019,200000000
imBTC,11/7/2019,200000000
imBTC,11/7/2019,200000000
imBTC,11/7/2019,200000000
imBTC,11/7/2019,200000000
imBTC,11/7/2019,12000
imBTC,11/8/2019,-50000000
imBTC,11/8/2019,-4286607
imBTC,11/9/2019,-1035335
imBTC,11/10/2019,300000000
imBTC,11/11/2019,200000000
imBTC,11/11/2019,-1274082
imBTC,11/11/2019,200000000
imBTC,11/11/2019,-6120945
imBTC,11/11/2019,-15522779
imBTC,11/12/2019,-140158272
imBTC,11/12/2019,200000000
imBTC,11/14/2019,-32608937
imBTC,11/14/2019,-63112791
imBTC,11/15/2019,200000000
imBTC,11/18/2019,200000000
imBTC,11/18/2019,-6048662
imBTC,11/19/2019,-10209049
imBTC,11/19/2019,300000000
imBTC,11/21/2019,-1232292
imBTC,11/21/2019,600000000
imBTC,11/22/2019,300000000
imBTC,11/24/2019,-1772413
imBTC,11/25/2019,-2217677
imBTC,11/25/2019,-1374166
imBTC,11/26/2019,-1217957
imBTC,11/29/2019,-1191147
imBTC,11/29/2019,-9970164
imBTC,11/30/2019,200000000
imBTC,11/30/2019,-24842976
imBTC,11/30/2019,200000000
imBTC,11/30/2019,-443061149
imBTC,12/1/2019,300000000
imBTC,12/1/2019,300000000
